work,workLabel,author,authorLabel,publisher,publisherLabel,publicationDate,isbn
http://www.wikidata.org/entity/Q100149220,Urban Life in the Middle Ages 1000-1450,http://www.wikidata.org/entity/Q57243192,Keith D. Lilley,http://www.wikidata.org/entity/Q1076074,Palgrave Macmillan,2002-05-01T00:00:00Z,
http://www.wikidata.org/entity/Q100149253,The Black Death,http://www.wikidata.org/entity/Q4647729,A. E. Levett,http://www.wikidata.org/entity/Q10454562,Clarendon Press,1916-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100149253,The Black Death,http://www.wikidata.org/entity/Q4684449,Adolphus Ballard,http://www.wikidata.org/entity/Q10454562,Clarendon Press,1916-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100158604,"Estoril, los años dorados.",http://www.wikidata.org/entity/Q100158635,Ricardo Mateos Sáinz de Medrano,http://www.wikidata.org/entity/Q21806357,La Esfera de los Libros,2012-01-01T00:00:00Z,978-84-9970-332-9
http://www.wikidata.org/entity/Q100216001,Rigged: How globalization and the rules to the modern economy were structured to make the rich richer,http://www.wikidata.org/entity/Q222122,Dean Baker,http://www.wikidata.org/entity/Q1053591,Center for Economic and Policy Research,2016-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100255508,Q100255508,http://www.wikidata.org/entity/Q366471,Yakov Zeldovich,http://www.wikidata.org/entity/Q248326,Nauka,1975-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100255508,Q100255508,http://www.wikidata.org/entity/Q931008,Igor Novikov,http://www.wikidata.org/entity/Q248326,Nauka,1975-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100255510,Q100255510,http://www.wikidata.org/entity/Q931008,Igor Novikov,http://www.wikidata.org/entity/Q248326,Nauka,1983-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100267990,Ghosting the News; Local Journalism and the Crisis of American Democracy,http://www.wikidata.org/entity/Q20979407,Margaret Sullivan,http://www.wikidata.org/entity/Q100268009,Columbia Global Reports,2020-07-14T00:00:00Z,
http://www.wikidata.org/entity/Q100270853,Play; recreation in a balanced life,http://www.wikidata.org/entity/Q4822857,Austen Fox Riggs,http://www.wikidata.org/entity/Q1251563,Doubleday,1935-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100270859,Intelligent Living,http://www.wikidata.org/entity/Q4822857,Austen Fox Riggs,http://www.wikidata.org/entity/Q1251563,Doubleday,1929-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100300230,Grundzüge der Mineralogie,http://www.wikidata.org/entity/Q76459,Wolfgang Franz von Kobell,http://www.wikidata.org/entity/Q1695284,Johann Leonhard Schrag,1838-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100328725,Vers Tombouctou : L'Afrique des explorateurs II,http://www.wikidata.org/entity/Q25694951,Anne Hugon,http://www.wikidata.org/entity/Q273819,Éditions Gallimard,1994-09-14T00:00:00Z,978-2-07-053226-1
http://www.wikidata.org/entity/Q100334109,Governing Global Health: Who Runs the World and Why?,http://www.wikidata.org/entity/Q229671,Chelsea Clinton,http://www.wikidata.org/entity/Q217595,Oxford University Press,2017-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100334109,Governing Global Health: Who Runs the World and Why?,http://www.wikidata.org/entity/Q64498584,Devi Sridhar,http://www.wikidata.org/entity/Q217595,Oxford University Press,2017-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100400724,Q100400724,http://www.wikidata.org/entity/Q11471037,Ryōta Yamasato,http://www.wikidata.org/entity/Q11102956,Tokyo News Service,2019-04-12T00:00:00Z,978-4-86336-908-5
http://www.wikidata.org/entity/Q100436517,Q100436517,http://www.wikidata.org/entity/Q3110601,Gonzague Saint Bris,http://www.wikidata.org/entity/Q3579243,Belfond,2009-01-01T00:00:00Z,978-2-84011-938-8
http://www.wikidata.org/entity/Q100593744,"Rural Settlement, Lifestyles and Social Change in the Later First Millennium AD: Anglo-Saxon Flixborough. Excavations at Flixborough Vol 4",http://www.wikidata.org/entity/Q55939555,Christopher Loveluck,http://www.wikidata.org/entity/Q51094838,Oxbow Books,2007-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100605984,"Fram og tilbake til by'n - om HSD, langruter, lokalruter, båtar og stoppestadar",http://www.wikidata.org/entity/Q16905397,Harald Sætre,http://www.wikidata.org/entity/Q11980077,Kapabel Forlag,2018-07-01T00:00:00Z,978-82-8163-082-6
http://www.wikidata.org/entity/Q100623743,Asser’s Life of King Alfred together with the Annals of Saint Neots erroneously ascribed to Asser,http://www.wikidata.org/entity/Q16031325,William Henry Stevenson,http://www.wikidata.org/entity/Q10454562,Clarendon Press,1904-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100627724,King Alfred’s Coins. The Watlington Viking Hoard,http://www.wikidata.org/entity/Q57305534,John Naylor,http://www.wikidata.org/entity/Q636400,Ashmolean Museum,2016-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100628898,"The Cuerdale Hoard and Related Viking Age Silver and Gold, from Britain and Ireland in the British Museum",http://www.wikidata.org/entity/Q54915910,James Graham-Campbell,http://www.wikidata.org/entity/Q65088010,British Museum Press,2011-01-01T00:00:00Z,978-0-86159-185-5
http://www.wikidata.org/entity/Q100680940,Q100680940,http://www.wikidata.org/entity/Q100324059,Marc Girard,http://www.wikidata.org/entity/Q3332563,Médiaspaul,2016-05-01T00:00:00Z,978-2-89760-058-7
http://www.wikidata.org/entity/Q100692735,Viking Age York,http://www.wikidata.org/entity/Q56191441,Richard Hall,http://www.wikidata.org/entity/Q55740353,B. T. Batsford,1994-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100828746,"The gate to Haskalah : an annotated index to hame'asef, the first hebrew journal",http://www.wikidata.org/entity/Q7038512,Moshe Pelli,http://www.wikidata.org/entity/Q12406495,Hotsaʼat sefarim ʻa. sh. Y.L. Magnes,2000-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q100871299,The Age of Sutton Hoo: the Seventh Century in North-Western Europe,http://www.wikidata.org/entity/Q6775123,Martin Carver,http://www.wikidata.org/entity/Q4952408,Boydell & Brewer,1992-01-01T00:00:00Z,
